Geography,Estimate; Total:,Estimate; Male:,Estimate; Male: - Never married,Estimate; Male: - Now married:,Estimate; Male: - Divorced,Estimate; Female:,Estimate; Female: - Never married,Estimate; Female: - Now married:,Estimate; Female: - Divorced,% of population 15+ that are divorced,% of Pop 15+ Now Married,,per_below_pov
"Lafayette city, Louisiana",106482,50898,24713,20278,4339,55584,23349,20266,7796,11.39629233,38.07591893,45.13626716,27.5
"Lake Charles city, Louisiana",61579,29426,13237,10985,3946,32153,10665,13299,4591,13.86349242,39.43552185,38.8151805,23.7
"New Orleans city, Louisiana",324402,152805,81632,51105,16001,171597,81478,51334,24846,12.59147601,31.57779545,50.28020789,30.8
"Shreveport city, Louisiana",154236,71605,33254,27642,8527,82631,31814,29432,11869,13.22389066,37.00433103,42.18729739,18.9
"Portland city, Maine",57365,28482,14300,9520,4118,28883,12636,10023,4121,14.36241611,34.06781138,46.95546065,21.9
"Baltimore city, Maryland",505356,233706,132186,72307,22987,271650,141795,70302,32045,10.88974901,28.21951258,54.21544416,21
"Boston city, Massachusetts",581263,277043,160831,95373,16624,304220,167296,92551,25201,7.195537992,32.33028767,56.45069444,19.7
"Brockton city, Massachusetts",74658,34704,16794,14514,2610,39954,16548,15305,4205,9.128291677,39.9407967,44.65964799,14.8
"Cambridge city, Massachusetts",100070,48154,29210,15116,3002,51916,29035,16546,4055,7.052063556,31.6398521,58.20425702,19.1
"Fall River city, Massachusetts",72182,33864,13013,15672,3366,38318,12456,17196,4972,11.55135629,45.5348979,35.28441994,24.5
"Lawrence city, Massachusetts",61796,30234,16006,10800,2724,31562,13701,12489,3509,10.08641336,37.6869053,48.07269079,19.6
"Lowell city, Massachusetts",89167,44207,23020,16397,3515,44960,18956,16674,5915,10.5756614,37.08883331,47.07571187,17.6
"Lynn city, Massachusetts",74264,37786,17786,14972,4247,36478,13289,15240,4533,11.82268663,40.68189163,41.84396208,19.9
"New Bedford city, Massachusetts",75886,35875,17922,14295,3119,40011,15939,13929,5529,11.39604143,37.19263105,44.62087869,4.1
"Newton city, Massachusetts",72059,33334,11641,19323,1426,38725,13088,20168,2400,5.309538017,54.80370252,34.31771187,10.2
"Quincy city, Massachusetts",80740,38625,14989,19831,2830,42115,15504,19199,3673,8.054248204,48.34035175,37.76690612,12.6
"Somerville city, Massachusetts",73661,35913,22339,11157,1970,37748,23049,10715,1892,5.24293724,29.6927818,61.61740948,24.7
"Springfield city, Massachusetts",123733,57505,29473,20663,5427,66228,29829,21093,10664,13.00461478,33.74685815,47.92739205,19.3
"Worcester city, Massachusetts",156332,75565,38378,27299,7881,80767,35810,26954,10624,11.83698795,34.70370749,47.4554154,22.8
"Ann Arbor city, Michigan",107810,54652,31240,19907,2954,53158,27415,19530,3841,6.302754846,36.58009461,54.40589927,30.6
"Dearborn city, Michigan",72095,35230,14492,18011,1964,36865,10174,18809,4013,8.290450101,51.07150288,34.21319093,35.7
"Detroit city, Michigan",529186,248282,147574,66948,25657,280904,151647,67705,36575,11.7599483,25.44530657,56.54363494,8.8
"Farmington Hills city, Michigan",67841,31681,8627,18442,3446,36160,10009,17913,4324,11.45325098,53.5885379,27.47011394,44.5
"Flint city, Michigan",74727,35143,18123,11346,4844,39584,17679,11506,7170,16.07718763,30.58064689,47.91039383,21.9
"Grand Rapids city, Michigan",157154,79345,40508,30621,6923,77809,32981,31087,7602,9.242526439,39.26594296,46.76241139,30.9
"Kalamazoo city, Michigan",62160,29938,17825,8733,2941,32222,16672,8867,3745,10.75611326,28.31402831,55.49710425,26.4
"Lansing city, Michigan",93725,44297,21486,15143,6936,49428,21519,15816,8412,16.37556682,33.0317418,45.8842358,6.3
"Livonia city, Michigan",77941,37552,11672,21929,2865,40389,9282,22253,4050,8.872095559,56.68646797,26.88443823,6
"Rochester Hills city, Michigan",59375,29300,10188,16634,2080,30075,6161,17578,4020,10.27368421,57.62021053,27.53515789,12.7
"Southfield city, Michigan",61896,28242,12674,11069,3511,33654,12626,11326,5586,14.69723407,36.18165956,40.87501616,11.8
"Sterling Heights city, Michigan",109655,52514,17186,29528,3594,57141,16719,29023,5509,8.30149104,53.39564999,30.9197027,4.1
"Troy city, Michigan",70630,34661,10058,21710,2082,35969,8598,21725,2418,6.371230355,61.49653122,26.41370522,18.1
"Warren city, Michigan",109268,52122,20787,24845,4874,57146,18632,25611,6917,10.79089944,46.17637369,36.07552074,11.3
"Westland city, Michigan",69041,32485,11512,14839,4943,36556,12763,14120,5826,15.59797801,41.94464159,35.16026709,14.2
"Wyoming city, Michigan",60467,29562,10947,13869,4293,30905,11310,13701,4373,14.33178428,45.595118,36.80850712,6.3
"Bloomington city, Minnesota",71733,34133,11894,17044,3845,37600,10461,18503,4212,11.23192952,49.5545983,31.16417827,14.5
"Brooklyn Park city, Minnesota",60454,27910,10732,14461,2183,32544,12688,15026,3410,9.251662421,48.77592881,38.74019916,18.7
"Duluth city, Minnesota",72051,35612,18918,12542,3152,36439,14762,13659,4993,11.30449265,36.36451958,46.74466697,20.4
"Minneapolis city, Minnesota",343323,176100,97761,60389,15998,167223,78361,62144,19394,10.30865978,35.69029747,51.29921386,3.8
"Plymouth city, Minnesota",61214,29769,8108,19338,1840,31445,7072,19153,3469,8.672852615,62.87940667,24.79824877,11.2
"Rochester city, Minnesota",91068,43823,15953,22602,4680,47245,15037,23507,5147,10.79083762,50.63139632,34.02951641,19.2
"St. Paul city, Minnesota",237023,115839,54158,47259,12231,121184,51963,47633,14500,11.27780848,40.03493332,44.77244824,19.2
"Gulfport city, Mississippi",57886,28384,10162,12867,4414,29502,8369,12640,5332,16.83654079,44.06419514,32.01292195,22
"Jackson city, Mississippi",133855,60582,30418,22219,6394,73273,32682,23624,9186,11.63946061,34.24825371,47.14056255,19.7
"Columbia city, Missouri",101989,48669,25653,19487,2691,53320,24615,20486,5112,7.650825089,39.19344243,49.28766828,15.6
"Independence city, Missouri",93354,43351,14832,21813,5088,50003,14464,22094,8322,14.36467639,47.03279988,31.38162264,16.4
"Kansas City city, Missouri",386749,185406,78671,81842,20697,201343,74276,81452,29458,12.96835932,42.22221648,39.54683787,7.1
"Lee's Summit city, Missouri",73555,34330,9059,22354,2192,39225,9533,22912,4439,9.015022772,61.54034396,25.27632384,3.3
"O'Fallon city, Missouri",68426,32386,9823,19899,2204,36040,8553,19678,4942,10.44339871,57.83912548,26.85528893,20.4
"St. Charles city, Missouri",58661,28063,10141,13688,3462,30598,10126,13592,3964,12.65917731,46.50449191,34.54935988,23.8
"St. Louis city, Missouri",258935,123760,67381,40319,13752,135175,65459,40793,18309,12.3818719,31.32523606,51.30245042,24.6
"Springfield city, Missouri",141699,66830,28227,27336,9605,74869,27877,27104,11801,15.10666977,38.41946662,39.59378683,8.6
"Billings city, Montana",88790,42987,14572,22080,5461,45803,12528,22404,6183,13.11408942,50.10023651,30.52145512,19.3
"Missoula city, Montana",61729,31881,17554,10927,2810,29848,10739,11441,6176,14.55717734,36.23580489,45.83421082,13.7
"Lincoln city, Nebraska",226622,113647,48508,54413,8392,112975,38950,52923,12983,9.432005719,47.36345103,38.59201666,14.4
"Omaha city, Nebraska",354725,173422,68098,83604,17987,181303,62074,82424,23598,11.72316583,46.80470787,36.69659595,8.5
"Henderson city, Nevada",241446,118332,37014,62107,15967,123114,30080,61308,20652,15.16653827,51.1149491,27.78840817,15.6
"Las Vegas city, Nevada",506265,253013,102103,110345,34039,253252,80149,112868,40010,14.62652958,44.09015042,35.99932841,14.2
"North Las Vegas city, Nevada",183956,89277,33590,41871,11462,94679,34369,42442,12310,12.92265542,45.83324273,36.94307334,15.1
